date,id_vendor,type_wood,price_wood_PerBF
2024-01-01,1,mahogany,11.39
2024-01-01,1,rosewood,66.75
2024-01-01,2,rosewood,55.17
2024-01-01,3,mahogany,11.9
2024-01-01,1,maple,6.41
2024-01-01,2,mahogany,11.52
2024-01-01,222,maple,5.4
2024-01-01,3,maple,6.72
2024-01-01,3,rosewood,68.72
2024-01-02,1,maple,6.62
2024-01-02,1,rosewood,70.96
2024-01-02,3,rosewood,63.29
2024-01-02,111,mahogany,12.89
2024-01-02,2,mahogany,13.95
2024-01-02,2,maple,5.75
2024-01-02,222,rosewood,76.14
2024-01-02,3,mahogany,13.39
2024-01-02,3,maple,5.7
2024-01-03,1,maple,6.42
2024-01-03,2,mahogany,14.45
2024-01-03,3,maple,6.1
2024-01-03,1,mahogany,13.99
2024-01-03,111,rosewood,62.05
2024-01-03,222,maple,6.72
2024-01-03,222 ,rosewood,82.21
2024-01-03,3,mahogany,13.77
2024-01-03,3,rosewood,72.51
2024-01-04,1,maple,6.28
2024-01-04,2,rosewood,64.89
2024-01-04,3,maple,6.57
2024-01-04,1,mahogany,12.32
2024-01-04,1 ,rosewood,83.79
2024-01-04,2,mahogany,13.94
2024-01-04,2,maple,5.18
2024-01-04,3 ,mahogany,13.42
2024-01-04,333,rosewood,63.11
2024-01-05,1,maple,6.52
2024-01-05,2,maple,6.47
2024-01-05,3,mahogany,13.55
2024-01-05,3,maple,6.91
2024-01-05,1,rosewood,71.46
2024-01-05,111,mahogany,12.13
2024-01-05,2 ,mahogany,13.97
2024-01-05,2 ,rosewood,78.99
2024-01-05,3,rosewood,74.26
2024-01-06,1,mahogany,13.75
2024-01-06,2,mahogany,12.58
2024-01-06,3,maple,6.57
2024-01-06,1,maple,6.2
2024-01-06,1 ,rosewood,71.91
2024-01-06,222,rosewood,75.08
2024-01-06,222 ,maple,6.13
2024-01-06,3,mahogany,12.43
2024-01-06,3,rosewood,79.8
2024-01-07,2,mahogany,14.35
2024-01-07,3,mahogany,13.05
2024-01-07,1,mahogany,13.56
2024-01-07,111,maple,6.77
2024-01-07,111,rosewood,77.45
2024-01-07,2,rosewood,73.89
2024-01-07,2 ,maple,4.59
2024-01-07,3,maple,5.61
2024-01-07,333,rosewood,70.0
2024-01-08,2,mahogany,14.88
2024-01-08,2,maple,5.6
2024-01-08,3,mahogany,13.27
2024-01-08,1,rosewood,66.34
2024-01-08,111,mahogany,12.92
2024-01-08,111,maple,6.0
2024-01-08,2,rosewood,74.82
2024-01-08,3,maple,7.07
2024-01-08,333 ,rosewood,61.89
2024-01-09,1,rosewood,71.57
2024-01-09,2,mahogany,11.33
2024-01-09,333,maple,5.64
2024-01-09,1,mahogany,12.55
2024-01-09,1,maple,6.04
2024-01-09,2,maple,5.68
2024-01-09,2 ,rosewood,66.45
2024-01-09,3,mahogany,10.71
2024-01-09,3,rosewood,69.96
2024-01-10,2,maple,5.98
2024-01-10,111,rosewood,64.37
2024-01-10,1,mahogany,
2024-01-10,1,maple,6.7
2024-01-10,2,mahogany,10.22
2024-01-10,2 ,rosewood,78.65
2024-01-10,3,maple,6.35
2024-01-10,3,rosewood,65.85
2024-01-10,333 ,mahogany,12.07
2024-01-11,1,rosewood,74.32
