date,id_vendor,type_wood,price_wood_PerBF
2024-01-01,1,mahogany,11.39
2024-01-01,1,maple,6.41
2024-01-01,1,rosewood,71.56
2024-01-01,2,mahogany,14.39
2024-01-01,2,maple,5.81
2024-01-01,2,rosewood,75.7
2024-01-01,3,mahogany,12.74
2024-01-01,3,maple,5.29
2024-01-01,3,rosewood,64.33
2024-01-02,1,mahogany,12.81
2024-01-02,1,maple,6.98
2024-01-02,1,rosewood,68.74
2024-01-02,2,mahogany,12.73
2024-01-02,2,maple,5.77
2024-01-02,2,rosewood,63.72
2024-01-02,3,mahogany,13.45
2024-01-02,3,maple,5.74
2024-01-02,3,rosewood,69.08
2024-01-03,1,mahogany,12.26
2024-01-03,1,maple,6.44
2024-01-03,1,rosewood,85.56
2024-01-03,2,mahogany,14.74
2024-01-03,2,maple,6.95
2024-01-03,2,rosewood,71.85
2024-01-03,3,mahogany,12.38
2024-01-03,3,maple,6.1
2024-01-03,3,rosewood,67.39
2024-01-04,1,mahogany,13.55
2024-01-04,1,maple,6.41
2024-01-04,1,rosewood,67.84
2024-01-04,2,mahogany,13.59
2024-01-04,2,maple,7.09
2024-01-04,2,rosewood,67.9
2024-01-04,3,mahogany,11.88
2024-01-04,3,maple,5.5
2024-01-04,3,rosewood,76.11
2024-01-05,1,mahogany,13.67
2024-01-05,1,maple,5.79
2024-01-05,1,rosewood,64.19
2024-01-05,2,mahogany,12.36
2024-01-05,2,maple,6.23
2024-01-05,2,rosewood,86.53
2024-01-05,3,mahogany,12.59
2024-01-05,3,maple,6.1
2024-01-05,3,rosewood,68.71
2024-01-06,1,mahogany,12.84
2024-01-06,1,maple,5.84
2024-01-06,1,rosewood,67.19
2024-01-06,2,mahogany,12.98
2024-01-06,2,maple,6.56
2024-01-06,2,rosewood,84.53
2024-01-06,3,mahogany,12.68
2024-01-06,3,maple,6.12
2024-01-06,3,rosewood,67.87
2024-01-07,1,mahogany,9.83
2024-01-07,1,maple,6.41
2024-01-07,1,rosewood,72.54
2024-01-07,2,mahogany,12.19
2024-01-07,2,maple,6.5
2024-01-07,2,rosewood,69.36
2024-01-07,3,mahogany,10.58
2024-01-07,3,maple,6.24
2024-01-07,3,rosewood,70.25
2024-01-08,1,mahogany,14.94
2024-01-08,1,maple,6.14
2024-01-08,1,rosewood,71.69
2024-01-08,2,mahogany,13.94
2024-01-08,2,maple,5.19
2024-01-08,2,rosewood,61.75
2024-01-08,3,mahogany,13.88
2024-01-08,3,maple,5.81
2024-01-08,3,rosewood,70.33
2024-01-09,1,mahogany,14.18
2024-01-09,1,maple,
2024-01-09,1,rosewood,74.89
2024-01-09,2,mahogany,13.51
2024-01-09,2,maple,5.41
2024-01-09,2,rosewood,66.12
2024-01-09,3,mahogany,11.61
2024-01-09,3,maple,6.07
2024-01-09,3,rosewood,73.0
2024-01-10,1,mahogany,13.83
2024-01-10,1,maple,7.5
2024-01-10,1,rosewood,61.94
2024-01-10,2,mahogany,14.73
2024-01-10,2,maple,6.5
2024-01-10,2,rosewood,73.86
2024-01-10,3,mahogany,12.79
2024-01-10,3,maple,
2024-01-10,3,rosewood,65.87
2024-01-11,1,mahogany,13.52
2024-01-11,1,maple,6.9
2024-01-11,1,rosewood,65.79
2024-01-11,2,mahogany,10.38
2024-01-11,2,maple,7.04
2024-01-11,2,rosewood,90.16
2024-01-11,3,mahogany,11.61
2024-01-11,3,maple,5.84
2024-01-11,3,rosewood,71.4
2024-01-12,1,mahogany,13.29
2024-01-12,1,maple,6.1
2024-01-12,1,rosewood,85.23
2024-01-12,2,mahogany,12.58
2024-01-12,2,maple,6.15
2024-01-12,2,rosewood,68.96
2024-01-12,3,mahogany,13.24
2024-01-12,3,maple,6.02
2024-01-12,3,rosewood,74.19
2024-01-13,1,mahogany,11.53
2024-01-13,1,maple,5.97
2024-01-13,1,rosewood,73.53
2024-01-13,2,mahogany,15.81
2024-01-13,2,maple,6.33
2024-01-13,2,rosewood,58.29
2024-01-13,3,mahogany,13.58
2024-01-13,3,maple,6.78
2024-01-13,3,rosewood,72.71
2024-01-14,1,mahogany,12.97
2024-01-14,1,maple,6.49
2024-01-14,1,rosewood,91.58
2024-01-14,2,mahogany,12.94
2024-01-14,2,maple,6.44
2024-01-14,2,rosewood,72.05
2024-01-14,3,mahogany,11.64
2024-01-14,3,maple,5.36
2024-01-14,3,rosewood,71.81
2024-01-15,1,mahogany,11.56
2024-01-15,1,maple,6.06
2024-01-15,1,rosewood,73.08
2024-01-15,2,mahogany,10.12
2024-01-15,2,maple,8.29
2024-01-15,2,rosewood,77.0
2024-01-15,3,mahogany,10.47
2024-01-15,3,maple,6.34
2024-01-15,3,rosewood,65.36
2024-01-16,1,mahogany,12.34
2024-01-16,1,maple,6.48
2024-01-16,1,rosewood,74.85
2024-01-16,2,mahogany,13.1
2024-01-16,2,maple,4.77
2024-01-16,2,rosewood,74.33
2024-01-16,3,mahogany,14.15
2024-01-16,3,maple,5.88
2024-01-16,3,rosewood,62.61
2024-01-17,1,mahogany,
2024-01-17,1,maple,6.45
2024-01-17,1,rosewood,74.34
2024-01-17,2,mahogany,10.07
2024-01-17,2,maple,6.19
2024-01-17,2,rosewood,86.59
2024-01-17,3,mahogany,13.82
